i,local_time,ok,status,latency_ms,error
0,2026-05-16T22:19:28.044,1,200,541.143,
1,2026-05-16T22:19:28.346,1,200,245.95,
2,2026-05-16T22:19:28.654,1,200,248.403,
3,2026-05-16T22:19:28.958,1,200,247.408,
4,2026-05-16T22:19:29.257,1,200,242.173,
5,2026-05-16T22:19:29.558,1,200,239.405,
6,2026-05-16T22:19:29.856,1,200,246.004,
7,2026-05-16T22:19:30.164,1,200,248.141,
8,2026-05-16T22:19:30.466,1,200,245.884,
9,2026-05-16T22:19:31.079,1,200,251.066,
10,2026-05-16T22:19:31.378,1,200,239.841,
11,2026-05-16T22:19:31.684,1,200,241.41,
12,2026-05-16T22:19:32.011,1,200,262.852,
13,2026-05-16T22:19:32.329,1,200,258.419,
14,2026-05-16T22:19:32.626,1,200,237.532,
15,2026-05-16T22:19:32.934,1,200,255.188,
16,2026-05-16T22:19:33.240,1,200,255.223,
17,2026-05-16T22:19:33.541,1,200,250.093,
18,2026-05-16T22:19:33.846,1,200,251.374,
19,2026-05-16T22:19:34.144,1,200,243.765,
20,2026-05-16T22:19:34.440,1,200,235.851,
21,2026-05-16T22:19:34.741,1,200,246.732,
22,2026-05-16T22:19:35.036,1,200,236.634,
23,2026-05-16T22:19:35.332,1,200,240.811,
24,2026-05-16T22:19:35.623,1,200,239.814,
25,2026-05-16T22:19:35.926,1,200,238.71,
26,2026-05-16T22:19:36.216,1,200,235.83,
27,2026-05-16T22:19:36.510,1,200,239.575,
28,2026-05-16T22:19:36.813,1,200,236.99,
29,2026-05-16T22:19:37.114,1,200,236.572,
30,2026-05-16T22:19:37.409,1,200,239.566,
31,2026-05-16T22:19:37.708,1,200,236.897,
32,2026-05-16T22:19:38.001,1,200,241.118,
33,2026-05-16T22:19:38.302,1,200,235.303,
34,2026-05-16T22:19:38.591,1,200,237.907,
35,2026-05-16T22:19:38.882,1,200,237.971,
36,2026-05-16T22:19:39.172,1,200,237.151,
37,2026-05-16T22:19:39.475,1,200,238.64,
38,2026-05-16T22:19:39.765,1,200,238.1,
39,2026-05-16T22:19:40.068,1,200,239.326,
40,2026-05-16T22:19:40.360,1,200,241.261,
41,2026-05-16T22:19:40.663,1,200,238.168,
42,2026-05-16T22:19:40.977,1,200,248.088,
43,2026-05-16T22:19:41.277,1,200,241.781,
44,2026-05-16T22:19:41.578,1,200,239.262,
45,2026-05-16T22:19:41.882,1,200,240.613,
46,2026-05-16T22:19:42.197,1,200,250.812,
47,2026-05-16T22:19:42.486,1,200,236.29,
48,2026-05-16T22:19:42.773,1,200,234.923,
49,2026-05-16T22:19:43.066,1,200,236.659,
50,2026-05-16T22:19:43.359,1,200,240.833,
51,2026-05-16T22:19:43.671,1,200,249.81,
52,2026-05-16T22:19:43.970,1,200,243.353,
53,2026-05-16T22:19:44.280,1,200,248.769,
54,2026-05-16T22:19:44.580,1,200,242.606,
55,2026-05-16T22:19:44.878,1,200,236.593,
56,2026-05-16T22:19:45.170,1,200,236.361,
57,2026-05-16T22:19:45.463,1,200,238.913,
58,2026-05-16T22:19:45.750,1,200,235.049,
59,2026-05-16T22:19:46.288,1,200,484.691,
60,2026-05-16T22:19:46.575,1,200,233.528,
61,2026-05-16T22:19:46.874,1,200,243.46,
62,2026-05-16T22:19:47.171,1,200,236.623,
63,2026-05-16T22:19:47.461,1,200,237.024,
64,2026-05-16T22:19:47.746,1,200,233.974,
65,2026-05-16T22:19:48.046,1,200,242.37,
66,2026-05-16T22:19:48.349,1,200,238.198,
67,2026-05-16T22:19:48.663,1,200,259.181,
68,2026-05-16T22:19:48.960,1,200,237.454,
69,2026-05-16T22:19:49.257,1,200,243.348,
70,2026-05-16T22:19:49.563,1,200,243.414,
71,2026-05-16T22:19:49.865,1,200,242.153,
72,2026-05-16T22:19:50.165,1,200,238.144,
73,2026-05-16T22:19:50.457,1,200,239.953,
74,2026-05-16T22:19:50.761,1,200,239.022,
75,2026-05-16T22:19:51.050,1,200,237.81,
76,2026-05-16T22:19:51.343,1,200,240.746,
77,2026-05-16T22:19:51.632,1,200,237.782,
78,2026-05-16T22:19:51.918,1,200,234.75,
79,2026-05-16T22:19:52.220,1,200,248.124,
80,2026-05-16T22:19:52.511,1,200,236.002,
81,2026-05-16T22:19:52.805,1,200,242.092,
82,2026-05-16T22:19:53.106,1,200,236.281,
83,2026-05-16T22:19:53.397,1,200,237.042,
84,2026-05-16T22:19:53.697,1,200,248.175,
85,2026-05-16T22:19:53.989,1,200,234.352,
86,2026-05-16T22:19:54.290,1,200,244.782,
87,2026-05-16T22:19:54.597,1,200,246.327,
88,2026-05-16T22:19:54.900,1,200,243.974,
89,2026-05-16T22:19:55.201,1,200,241.318,
90,2026-05-16T22:19:55.508,1,200,245.353,
91,2026-05-16T22:19:55.804,1,200,238.005,
92,2026-05-16T22:19:56.106,1,200,237.608,
93,2026-05-16T22:19:56.394,1,200,237.699,
94,2026-05-16T22:19:56.694,1,200,249.999,
95,2026-05-16T22:19:56.993,1,200,246.103,
96,2026-05-16T22:19:57.297,1,200,242.154,
97,2026-05-16T22:19:57.596,1,200,239.121,
98,2026-05-16T22:19:57.899,1,200,239.068,
99,2026-05-16T22:19:58.199,1,200,234.454,
100,2026-05-16T22:19:58.488,1,200,236.286,
101,2026-05-16T22:19:58.781,1,200,237.454,
102,2026-05-16T22:19:59.068,1,200,235.542,
103,2026-05-16T22:19:59.366,1,200,244.083,
104,2026-05-16T22:19:59.669,1,200,242.359,
105,2026-05-16T22:19:59.985,1,200,251.886,
106,2026-05-16T22:20:00.278,1,200,237.187,
107,2026-05-16T22:20:00.575,1,200,242.938,
108,2026-05-16T22:20:00.898,1,200,260.214,
109,2026-05-16T22:20:01.195,1,200,237.816,
110,2026-05-16T22:20:01.489,1,200,241.848,
111,2026-05-16T22:20:01.793,1,200,239.737,
112,2026-05-16T22:20:02.084,1,200,239.552,
113,2026-05-16T22:20:02.380,1,200,244.785,
114,2026-05-16T22:20:02.683,1,200,241.824,
115,2026-05-16T22:20:02.983,1,200,239.517,
116,2026-05-16T22:20:03.283,1,200,235.475,
117,2026-05-16T22:20:03.569,1,200,232.117,
118,2026-05-16T22:20:03.867,1,200,240.35,
119,2026-05-16T22:20:04.182,1,200,249.47,
120,2026-05-16T22:20:04.488,1,200,251.163,
121,2026-05-16T22:20:04.781,1,200,240.402,
122,2026-05-16T22:20:05.114,1,200,269.409,
123,2026-05-16T22:20:05.433,1,200,254.594,
124,2026-05-16T22:20:05.728,1,200,244.925,
125,2026-05-16T22:20:06.027,1,200,240.68,
126,2026-05-16T22:20:06.340,1,200,248.645,
127,2026-05-16T22:20:06.640,1,200,242.013,
128,2026-05-16T22:20:06.934,1,200,233.674,
129,2026-05-16T22:20:07.227,1,200,237.881,
130,2026-05-16T22:20:07.514,1,200,235.419,
131,2026-05-16T22:20:07.808,1,200,237.75,
132,2026-05-16T22:20:08.100,1,200,239.621,
133,2026-05-16T22:20:08.407,1,200,242.049,
134,2026-05-16T22:20:08.714,1,200,245.921,
135,2026-05-16T22:20:09.011,1,200,237.69,
136,2026-05-16T22:20:09.304,1,200,238.31,
137,2026-05-16T22:20:09.596,1,200,241.833,
138,2026-05-16T22:20:09.930,1,200,272.892,
139,2026-05-16T22:20:10.231,1,200,237.475,
140,2026-05-16T22:20:10.540,1,200,244.788,
141,2026-05-16T22:20:10.833,1,200,235.102,
142,2026-05-16T22:20:11.387,1,200,498.343,
143,2026-05-16T22:20:11.673,1,200,234.769,
144,2026-05-16T22:20:11.960,1,200,232.986,
145,2026-05-16T22:20:12.249,1,200,234.518,
146,2026-05-16T22:20:12.540,1,200,236.548,
147,2026-05-16T22:20:12.826,1,200,235.431,
148,2026-05-16T22:20:13.117,1,200,235.916,
149,2026-05-16T22:20:13.513,1,200,342.865,
150,2026-05-16T22:20:13.806,1,200,238.557,
151,2026-05-16T22:20:14.093,1,200,235.98,
152,2026-05-16T22:20:14.384,1,200,237.708,
153,2026-05-16T22:20:14.685,1,200,239.597,
154,2026-05-16T22:20:14.981,1,200,245.607,
155,2026-05-16T22:20:15.280,1,200,239.48,
156,2026-05-16T22:20:15.600,1,200,255.172,
157,2026-05-16T22:20:15.894,1,200,241.563,
158,2026-05-16T22:20:16.202,1,200,242.996,
159,2026-05-16T22:20:16.514,1,200,252.917,
160,2026-05-16T22:20:16.807,1,200,240.891,
161,2026-05-16T22:20:17.146,1,200,275.347,
162,2026-05-16T22:20:17.446,1,200,242.233,
163,2026-05-16T22:20:17.750,1,200,241.138,
164,2026-05-16T22:20:18.056,1,200,243.494,
165,2026-05-16T22:20:18.358,1,200,241.487,
