i,local_time,ok,status,latency_ms,error
0,2026-05-16T22:22:00.116,1,200,235.295,
1,2026-05-16T22:22:00.406,1,200,235.975,
2,2026-05-16T22:22:00.701,1,200,239.916,
3,2026-05-16T22:22:01.008,1,200,244.026,
4,2026-05-16T22:22:01.306,1,200,237.806,
5,2026-05-16T22:22:01.610,1,200,250.207,
6,2026-05-16T22:22:01.907,1,200,243.094,
7,2026-05-16T22:22:02.205,1,200,235.74,
8,2026-05-16T22:22:02.498,1,200,238.086,
9,2026-05-16T22:22:02.786,1,200,237.449,
10,2026-05-16T22:22:03.073,1,200,235.785,
11,2026-05-16T22:22:03.368,1,200,240.126,
12,2026-05-16T22:22:03.653,1,200,234.713,
13,2026-05-16T22:22:03.943,1,200,236.143,
14,2026-05-16T22:22:04.233,1,200,235.566,
15,2026-05-16T22:22:04.525,1,200,240.983,
16,2026-05-16T22:22:04.911,1,200,320.63,
17,2026-05-16T22:22:05.292,1,200,319.309,
18,2026-05-16T22:22:05.688,1,200,334.181,
19,2026-05-16T22:22:06.059,1,200,309.103,
20,2026-05-16T22:22:06.447,1,200,332.796,
21,2026-05-16T22:22:06.832,1,200,322.655,
22,2026-05-16T22:22:07.264,1,200,373.998,
23,2026-05-16T22:22:07.560,1,200,243.007,
24,2026-05-16T22:22:07.866,1,200,244.24,
25,2026-05-16T22:22:08.165,1,200,238.845,
26,2026-05-16T22:22:08.457,1,200,240.67,
27,2026-05-16T22:22:08.754,1,200,245.956,
28,2026-05-16T22:22:09.059,1,200,245.328,
29,2026-05-16T22:22:09.362,1,200,244.713,
30,2026-05-16T22:22:09.665,1,200,240.373,
31,2026-05-16T22:22:09.975,1,200,245.146,
32,2026-05-16T22:22:10.277,1,200,243.769,
33,2026-05-16T22:22:10.577,1,200,241.475,
34,2026-05-16T22:22:10.879,1,200,240.086,
35,2026-05-16T22:22:11.169,1,200,238.872,
36,2026-05-16T22:22:11.463,1,200,241.455,
37,2026-05-16T22:22:11.761,1,200,235.329,
38,2026-05-16T22:22:12.060,1,200,243.202,
39,2026-05-16T22:22:12.356,1,200,236.213,
40,2026-05-16T22:22:12.645,1,200,235.401,
41,2026-05-16T22:22:12.940,1,200,238.538,
42,2026-05-16T22:22:13.229,1,200,237.093,
43,2026-05-16T22:22:13.536,1,200,255.203,
